GSM,630,1,1017,53021,0,15.2935,-4.3056,904,25,1,1388144273,1770446079,0
GSM,630,1,2018,52197,0,26.7416,-11.0009,14379,7,1,1397771879,1761193910,0
GSM,630,1,1017,53293,0,15.2865,-4.3058,1400,24,1,1408216342,1734763695,0
GSM,630,1,2010,53202,0,27.5268,-11.5898,7179,23,1,1407059906,1756009899,0
GSM,630,1,2010,52850,0,27.2902,-11.3455,21972,27,1,1408285950,1768716577,0
GSM,630,1,2018,54731,0,27.133,-11.2054,19378,26,1,1408285950,1771309453,0
GSM,630,1,2023,55383,0,26.1061,-10.6469,5877,25,1,1408285950,1767940933,0
GSM,630,1,2023,51330,0,25.9987,-10.654,16561,24,1,1408285950,1758081273,0
GSM,630,1,2010,51082,0,27.5894,-11.5534,20195,11,1,1407299286,1771050984,0
GSM,630,1,2023,51993,0,26.2818,-10.6325,5988,23,1,1408065993,1771136148,0
GSM,630,1,2010,53207,0,27.515,-11.5807,7675,26,1,1407060203,1771476852,0
GSM,630,1,2023,55122,0,26.2157,-10.6187,17052,25,1,1408066124,1767591196,0
GSM,630,1,2023,55382,0,26.1197,-10.6452,6667,22,1,1408285950,1767940933,0
GSM,630,1,2010,59312,0,27.5309,-11.6336,6620,4,1,1407299876,1741416561,0
GSM,630,1,1017,59808,0,15.2774,-4.3131,3244,22,1,1413991696,1769320785,0
GSM,630,1,1029,55151,0,15.3422,-4.3795,1778,24,1,1417424907,1771396176,0
GSM,630,1,2009,56302,0,27.5257,-12.0867,15762,24,1,1418314740,1764305823,0
GSM,630,1,2009,58451,0,27.7755,-12.182,13466,23,1,1418314740,1771219884,0
GSM,630,1,2009,50463,0,27.7891,-12.2175,10004,26,1,1418431611,1771219869,0
GSM,630,1,2009,59273,0,27.65,-12.1188,26877,21,1,1418314740,1768459200,0
GSM,630,1,2009,58093,0,28.5161,-12.8116,7790,11,1,1420560524,1743057184,0
GSM,630,1,2009,58098,0,28.496,-12.7924,8528,9,1,1420560524,1742970840,0
GSM,630,1,2009,58092,0,28.5148,-12.7889,10678,17,1,1420560524,1761453053,0
GSM,630,1,1018,53408,0,15.2834,-4.4281,1796,9,1,1423393777,1770360650,0
GSM,630,1,2018,59733,0,26.8271,-11.0041,6956,24,1,1432448569,1752988159,0
GSM,630,1,2018,59881,0,26.8399,-10.9716,13035,22,1,1434142068,1766900288,0
GSM,630,1,2018,56211,0,26.887,-11.0077,6599,6,1,1434268652,1739947243,0
GSM,630,1,2018,58402,0,26.8366,-10.9724,13303,23,1,1434268652,1767332761,0
GSM,630,1,2018,59887,0,26.9071,-11.0163,13764,24,1,1435372742,1766296146,0
GSM,630,1,2009,50462,0,27.8045,-12.2512,12248,26,1,1435648112,1771477105,0
GSM,630,1,2009,50466,0,27.7874,-12.2125,16939,27,1,1437733167,1771219868,0
GSM,630,1,2009,50464,0,27.8114,-12.2573,12105,27,1,1437733167,1771477105,0
GSM,630,1,2009,50468,0,27.8029,-12.254,8418,27,1,1437733799,1771309449,0
GSM,630,1,2009,54836,0,27.7997,-12.2605,3920,26,1,1437734306,1771220033,0
GSM,630,1,2009,57933,0,27.7974,-12.2663,3117,27,1,1437734306,1771309275,0
GSM,630,1,2009,54833,0,27.7998,-12.2629,4467,26,1,1437734434,1771309286,0
GSM,630,1,2009,59272,0,27.8001,-12.262,3607,22,1,1437737220,1770273546,0
GSM,630,1,2009,58453,0,27.779,-12.2278,16927,27,1,1437737220,1771136274,0
GSM,630,1,2009,53897,0,27.7576,-12.1913,12603,14,1,1437717028,1751778760,0
GSM,630,1,1002,62001,0,15.2024,-4.4955,14193,23,1,1460257795,1769233110,0
GSM,630,1,1004,60396,0,15.28,-4.349,2150,9,1,1441935998,1765342647,0
GSM,630,1,1003,56478,0,15.2544,-4.41,2577,21,1,1425560737,1770360696,0
GSM,630,1,1009,50776,0,15.3286,-4.342,3872,23,1,1458819976,1768459282,0
GSM,630,1,1004,55329,0,15.256,-4.3554,2377,23,1,1437041672,1769233032,0
GSM,630,1,1004,55496,0,15.2551,-4.3493,5296,21,1,1437041672,1769233007,0
GSM,630,1,1016,53032,0,15.3186,-4.3107,1057,26,1,1458819976,1767854378,0
GSM,630,1,1014,52932,0,15.4483,-4.392,3183,22,1,1458819976,1768020833,0
GSM,630,1,1016,59766,0,15.3163,-4.2998,1000,16,1,1456799131,1765686969,0
GSM,630,1,1017,51778,0,15.2991,-4.3201,1000,19,1,1434950107,1770964780,0
GSM,630,1,1016,60697,0,15.3098,-4.3013,797,25,1,1458819976,1765255717,0
GSM,630,1,1017,51773,0,15.2986,-4.3195,3217,24,1,1427119870,1770964780,0
GSM,630,1,1016,58591,0,15.3036,-4.3086,500,25,1,1458819976,1766554392,0
GSM,630,1,1016,53052,0,15.3108,-4.3013,1000,24,1,1458819976,1771136143,0
GSM,630,1,1009,51786,0,15.3209,-4.343,1000,6,1,1456799131,1769150038,0
GSM,630,1,1014,55521,0,15.4933,-4.3658,3516,21,1,1457884919,1771051153,0
GSM,630,1,1014,57093,0,15.4642,-4.3842,2554,24,1,1458819976,1762836481,0
GSM,630,1,1017,61118,0,15.2908,-4.3118,804,25,1,1458819976,1768459274,0
GSM,630,1,1016,56367,0,15.3156,-4.3201,1000,24,1,1458819976,1768631621,0
GSM,630,1,1016,56646,0,15.3273,-4.3078,1000,24,1,1458819976,1765084183,0
GSM,630,1,1016,53061,0,15.3068,-4.3038,1775,23,1,1458819976,1771219868,0
GSM,630,1,1021,56652,0,15.3301,-4.3125,2060,21,1,1458819977,1770360493,0
GSM,630,1,1021,59656,0,15.3073,-4.3306,6255,18,1,1458819977,1771136181,0
GSM,630,1,1021,56682,0,15.3067,-4.3343,1000,23,1,1458819977,1771051213,0
GSM,630,1,1021,59936,0,15.3341,-4.3186,1667,26,1,1432126128,1770531283,0
GSM,630,1,1021,58687,0,15.3069,-4.3283,1000,21,1,1456799142,1768631595,0
GSM,630,1,1023,56711,0,15.2285,-4.333,6266,17,1,1439839689,1761713737,0
GSM,630,1,1022,54196,0,15.2677,-4.3366,1012,20,1,1440044297,1736231319,0
GSM,630,1,1019,51368,0,15.3621,-4.387,3812,21,1,1443264501,1770877881,0
GSM,630,1,1022,56356,0,15.2612,-4.3353,1730,23,1,1440044297,1769842173,0
GSM,630,1,1029,55363,0,15.342,-4.3676,1000,24,1,1458819977,1771477123,0
GSM,630,1,1026,52323,0,15.3262,-4.4007,6814,23,1,1433911451,1769926060,0
GSM,630,1,1025,52913,0,15.5473,-4.1248,16233,24,1,1437952037,1771476941,0
GSM,630,1,1028,50901,0,15.3424,-4.3388,1546,22,1,1454680882,1771136060,0
GSM,630,1,1029,56878,0,15.3455,-4.3806,1000,21,1,1458819978,1771136009,0
GSM,630,1,1029,55362,0,15.3428,-4.3709,1217,22,1,1456799131,1771136227,0
GSM,630,1,1026,52743,0,15.3289,-4.4006,3306,22,1,1433911451,1770791305,0
GSM,630,1,1029,50972,0,15.3399,-4.3744,1354,21,1,1458819977,1771051064,0
GSM,630,1,1029,50978,0,15.3352,-4.3749,1764,26,1,1458819977,1766900405,0
GSM,630,1,1028,55903,0,15.3416,-4.3326,1172,21,1,1453431536,1771136224,0
GSM,630,1,1024,61318,0,15.3324,-4.3867,1000,5,1,1458819977,1751693980,0
GSM,630,1,1024,56731,0,15.3401,-4.3796,1328,24,1,1458819977,1771051059,0
GSM,630,1,1028,59907,0,15.3454,-4.3463,1861,25,1,1454680882,1771395992,0
GSM,630,1,1029,60127,0,15.3406,-4.3677,1172,24,1,1456799142,1771477124,0
GSM,630,1,1024,56457,0,15.3346,-4.3832,2344,12,1,1458819977,1770964823,0
GSM,630,1,1047,59463,0,29.4693,0.4896,1000,6,1,1458819978,1767940784,0
GSM,630,1,2001,56903,0,27.4878,-11.6445,2199,25,1,1440493960,1771136221,0
GSM,630,1,2001,3071,0,27.4952,-11.6535,1432,25,1,1440493960,1753504032,0
GSM,630,1,2001,55761,0,27.4885,-11.6375,2097,22,1,1458819978,1744695480,0
GSM,630,1,2001,58707,0,27.4723,-11.716,6843,7,1,1448915669,1757649690,0
GSM,630,1,2009,50410,0,27.4581,-11.8675,5986,24,1,1441385335,1771477076,0
GSM,630,1,2018,51743,0,26.7225,-11.0034,2043,3,1,1438061355,1740552269,0
GSM,630,1,2005,53941,0,27.3941,-11.4824,18386,26,1,1439515863,1770360716,0
GSM,630,1,2023,55392,0,26.3253,-10.5785,19127,22,1,1427518832,1766900316,0
GSM,630,1,3020,56201,0,29.5955,3.146,4347,22,1,1458819979,1750914800,0
GSM,630,1,3020,55773,0,29.5797,3.1314,8135,26,1,1458819979,1768459023,0
GSM,630,1,2023,55391,0,26.3069,-10.5645,1064,26,1,1426664376,1755748457,0
GSM,630,1,8015,51132,0,17.9188,-4.7714,19675,22,1,1435118040,1732513988,0
GSM,630,1,3020,55774,0,29.5947,3.1501,7485,27,1,1458819979,1768459023,0
GSM,630,1,3020,58031,0,29.5799,3.1207,5263,26,1,1458819979,1745991448,0
GSM,630,1,3020,55772,0,29.5683,3.111,6298,24,1,1458819979,1768372881,0
GSM,630,1,3020,56203,0,29.5754,3.1518,3664,24,1,1458819979,1768459099,0
GSM,630,1,3020,55776,0,29.5788,3.1325,4935,24,1,1458819979,1768459112,0
GSM,630,1,8015,54201,0,17.1588,-4.773,9689,22,1,1442195381,1732171198,0
GSM,630,1,8410,54551,0,14.038,-5.7631,19203,25,1,1445072103,1771219999,0
GSM,630,1,8410,50322,0,13.4369,-5.8345,2580,22,1,1458819980,1771476963,0
GSM,630,1,8015,56261,0,17.039,-4.7972,8787,22,1,1442195381,1739161202,0
GSM,630,1,8015,54207,0,17.1671,-4.7727,21214,24,1,1442195381,1732171203,0
GSM,630,1,8410,53867,0,13.4551,-5.8261,1532,24,1,1446606719,1771476842,0
GSM,630,1,9012,55993,0,29.1968,-1.6652,6299,12,1,1458819980,1736318673,0
GSM,630,1,9012,51691,0,29.2433,-1.6512,4407,19,1,1457932506,1732514042,0
GSM,630,1,1004,59691,0,15.2597,-4.3538,4040,22,1,1432126128,1770791078,0
GSM,630,1,1002,61266,0,15.2678,-4.4372,2890,23,1,1458819975,1765860560,0
GSM,630,1,1003,51901,0,15.2579,-4.4265,3088,22,1,1440044297,1771136262,0
GSM,630,1,1017,52721,0,15.2709,-4.3241,1196,26,1,1458819976,1771220004,0
GSM,630,1,1017,53083,0,15.2862,-4.3154,1000,21,1,1450413600,1770446122,0
GSM,630,1,1017,50931,0,15.2787,-4.3236,2045,25,1,1439846710,1770446087,0
GSM,630,1,1017,50943,0,15.271,-4.3189,1704,23,1,1458819976,1754712711,0
GSM,630,1,1014,53652,0,15.424,-4.4006,2268,26,1,1458819976,1768459227,0
GSM,630,1,1016,53057,0,15.3108,-4.3015,531,25,1,1458819976,1771136148,0
GSM,630,1,1017,59802,0,15.2797,-4.3139,1283,24,1,1448017058,1769320632,0
GSM,630,1,1009,54343,0,15.3387,-4.3437,1634,25,1,1458819976,1771051133,0
GSM,630,1,1019,51366,0,15.3566,-4.3811,5575,22,1,1458819976,1771476843,0
GSM,630,1,1021,60388,0,15.3274,-4.3401,1000,23,1,1456799131,1770445982,0
GSM,630,1,1021,50143,0,15.3156,-4.3299,1045,24,1,1458819976,1768020767,0
GSM,630,1,1021,53108,0,15.3078,-4.3226,602,26,1,1458819976,1770446037,0
GSM,630,1,1023,56712,0,15.2228,-4.3334,3327,16,1,1436503065,1761885844,0
GSM,630,1,1021,58682,0,15.3067,-4.3273,728,26,1,1456799142,1771136159,0
GSM,630,1,1021,58683,0,15.3055,-4.3277,2223,23,1,1429427513,1771136159,0
GSM,630,1,1019,61288,0,15.3655,-4.3858,6246,21,1,1458819976,1770964712,0
GSM,630,1,1019,2235,0,15.3485,-4.3935,1000,7,1,1456799131,1770616981,0
GSM,630,1,1022,61096,0,15.2535,-4.3342,1682,8,1,1440773008,1757305861,0
GSM,630,1,1021,59938,0,15.3333,-4.3226,4084,25,1,1458819977,1770531287,0
GSM,630,1,1019,55166,0,15.3523,-4.3903,1996,16,1,1432126128,1770617060,0
GSM,630,1,1019,2234,0,15.346,-4.3875,1260,16,1,1458819976,1744263695,0
GSM,630,1,1022,62826,0,15.2654,-4.333,1430,6,1,1457231406,1769842183,0
GSM,630,1,1021,50141,0,15.317,-4.327,1132,23,1,1458819976,1766900231,0
GSM,630,1,1022,55217,0,15.2802,-4.3434,1474,14,1,1458819977,1764562593,0
GSM,630,1,1025,52916,0,15.534,-4.1014,3996,26,1,1437952037,1770964712,0
GSM,630,1,1024,61406,0,15.3324,-4.3742,2198,11,1,1458819977,1742106613,0
GSM,630,1,1024,56451,0,15.3327,-4.3823,1000,12,1,1458819977,1770964820,0
GSM,630,1,1026,52748,0,15.3289,-4.3991,7099,14,1,1433911451,1768631661,0
GSM,630,1,1027,55208,0,15.3732,-4.4077,3614,17,1,1437354748,1770878080,0
GSM,630,1,1024,55182,0,15.3335,-4.3615,1347,16,1,1456799142,1769407897,0
GSM,630,1,1029,53708,0,15.3419,-4.3613,1513,21,1,1458819977,1771476842,0
GSM,630,1,1029,56871,0,15.3509,-4.3838,6706,21,1,1458819978,1771476970,0
GSM,630,1,1028,59906,0,15.3417,-4.3384,4035,26,1,1453637812,1771051215,0
GSM,630,1,1028,59908,0,15.3401,-4.3404,1413,26,1,1454680882,1770964858,0
GSM,630,1,1047,61888,0,29.4611,0.4859,3801,10,1,1458819978,1752816527,0
GSM,630,1,1047,61887,0,29.4755,0.4909,2378,8,1,1458819978,1767420761,0
GSM,630,1,2001,56488,0,27.4995,-11.6528,4065,23,1,1458819978,1771135997,0
GSM,630,1,2005,57803,0,27.4191,-11.7192,1647,22,1,1438061355,1761799660,0
GSM,630,1,2018,59731,0,26.8433,-10.9705,6970,25,1,1436148439,1768545339,0
GSM,630,1,2018,59732,0,26.9254,-11.031,14280,23,1,1436148439,1771309456,0
GSM,630,1,2005,52557,0,27.4622,-11.6901,6777,31,1,1438517529,1725945980,0
GSM,630,1,2005,59283,0,27.4156,-11.6418,9377,24,1,1447802720,1771220005,0
GSM,630,1,2005,54301,0,27.4206,-11.6639,5723,23,1,1447802720,1750311971,0
GSM,630,1,2005,59282,0,27.4201,-11.6508,4515,22,1,1447802720,1761886037,0
GSM,630,1,2023,54108,0,26.1995,-10.578,8850,15,1,1426382128,1756785582,0
GSM,630,1,3020,60772,0,29.555,3.107,7732,18,1,1439873953,1745991489,0
GSM,630,1,3020,50251,0,29.5462,3.0812,5247,14,1,1438559364,1745991315,0
GSM,630,1,3020,55771,0,29.5837,3.1431,5740,16,1,1458819979,1750914800,0
GSM,630,1,2023,51581,0,26.3474,-10.6172,15311,25,1,1458819979,1768716501,0
GSM,630,1,8410,54172,0,13.4481,-5.825,2838,24,1,1439348707,1771476856,0
GSM,630,1,8420,50967,0,14.4286,-5.5613,8143,22,1,1458036507,1747892096,0
GSM,630,1,9012,51692,0,29.2423,-1.6551,3204,27,1,1458819980,1732602914,0
GSM,630,1,1003,61376,0,15.2337,-4.3763,8352,17,1,1458819976,1770531413,0
GSM,630,1,1004,58876,0,15.257,-4.3742,7519,26,1,1432126129,1770791043,0
GSM,630,1,1004,50431,0,15.2526,-4.3643,5408,22,1,1457231406,1771220046,0
GSM,630,1,1003,60327,0,15.2492,-4.4097,1000,5,1,1425560737,1760673380,0
GSM,630,1,1003,56951,0,15.274,-4.3872,7491,11,1,1457231406,1769233064,0
GSM,630,1,1004,55498,0,15.2529,-4.3548,3437,24,1,1437041672,1769233010,0
GSM,630,1,1009,51326,0,15.3079,-4.3379,1220,22,1,1458819976,1768890249,0
GSM,630,1,1017,50933,0,15.2767,-4.3244,2558,23,1,1445439526,1770446087,0
GSM,630,1,1016,57886,0,15.3091,-4.3039,1417,26,1,1454429068,1771220000,0
GSM,630,1,1016,59768,0,15.3107,-4.3054,2357,22,1,1458819976,1771219993,0
GSM,630,1,1017,59792,0,15.2808,-4.3152,925,25,1,1458819976,1771219876,0
GSM,630,1,1017,53151,0,15.2755,-4.3177,1000,19,1,1448017058,1764219431,0
GSM,630,1,1014,52936,0,15.4498,-4.3894,15111,24,1,1458819976,1768373120,0
GSM,630,1,1017,62906,0,15.2981,-4.3207,1000,3,1,1458200055,1764219457,0
GSM,630,1,1017,59803,0,15.2771,-4.3151,1600,21,1,1450413600,1769320632,0
GSM,630,1,1016,58478,0,15.3119,-4.3037,1850,17,1,1427119841,1771051254,0
GSM,630,1,1017,52727,0,15.2749,-4.322,1221,22,1,1449399220,1769233086,0
GSM,630,1,1016,53142,0,15.3187,-4.3167,1215,18,1,1458819976,1767854382,0
GSM,630,1,1018,52527,0,15.3335,-4.3909,2052,25,1,1430881413,1762318511,0
GSM,630,1,1022,57878,0,15.2851,-4.3503,1000,18,1,1455095949,1769320800,0
GSM,630,1,1021,58888,0,15.3199,-4.3203,1000,16,1,1458819977,1751522303,0
GSM,630,1,1021,56256,0,15.3277,-4.3095,2915,24,1,1458819977,1771220028,0
GSM,630,1,1021,56686,0,15.3061,-4.3351,1840,26,1,1458819977,1771051213,0
GSM,630,1,1021,61108,0,15.2958,-4.3342,1176,23,1,1455095949,1770360610,0
GSM,630,1,1019,2232,0,15.3478,-4.3926,1000,20,1,1456799131,1762577778,0
GSM,630,1,1021,55883,0,15.3203,-4.3218,2384,12,1,1458819977,1762923192,0
GSM,630,1,1021,56681,0,15.3061,-4.3358,2247,24,1,1458819977,1771051213,0
GSM,630,1,1021,59933,0,15.3333,-4.3207,1525,24,1,1458819977,1770531283,0
GSM,630,1,1023,55221,0,15.2499,-4.3581,2411,25,1,1439173261,1769669220,0
GSM,630,1,1023,55222,0,15.2506,-4.362,1000,23,1,1437041672,1771220006,0
GSM,630,1,1022,60318,0,15.2619,-4.3476,1616,17,1,1458819977,1766206681,0
GSM,630,1,1023,56721,0,15.2483,-4.3438,4003,24,1,1458819977,1765428575,0
GSM,630,1,1029,55361,0,15.3424,-4.3658,3387,23,1,1458819977,1771477102,0
GSM,630,1,1029,52926,0,15.3531,-4.3704,1152,21,1,1432126128,1771051187,0
GSM,630,1,1029,53702,0,15.3451,-4.3615,1000,24,1,1458819977,1771476856,0
GSM,630,1,1024,56458,0,15.3322,-4.3842,1000,12,1,1458819977,1770964823,0
GSM,630,1,1025,51268,0,15.532,-4.0883,1651,21,1,1437952037,1771476934,0
GSM,630,1,1025,52918,0,15.5452,-4.1203,11368,23,1,1436617847,1770710359,0
GSM,630,1,1024,57296,0,15.3398,-4.3607,1850,25,1,1458819977,1770710257,0
GSM,630,1,1026,56921,0,15.3494,-4.3861,2663,50,1,1458819977,1762577778,0
GSM,630,1,1028,50902,0,15.344,-4.3458,1269,23,1,1454680882,1771395995,0
GSM,630,1,1024,56456,0,15.3324,-4.3818,1000,9,1,1458819977,1770964820,0
GSM,630,1,1029,60122,0,15.3431,-4.3666,1201,22,1,1458819978,1771477102,0
GSM,630,1,1024,56732,0,15.3402,-4.382,1424,22,1,1458819977,1771396176,0
GSM,630,1,1024,56738,0,15.3363,-4.3854,2968,25,1,1458819977,1771220043,0
GSM,630,1,1026,52321,0,15.3272,-4.3991,3034,27,1,1458819977,1769926060,0
GSM,630,1,1026,56336,0,15.3351,-4.3887,1977,23,1,1458819977,1771220043,0
GSM,630,1,1029,52518,0,15.3379,-4.3826,3031,25,1,1458819977,1760329715,0
GSM,630,1,2001,54727,0,27.4896,-11.6589,2901,26,1,1441168179,1771476987,0
GSM,630,1,2001,59216,0,27.4858,-11.6618,7460,50,1,1441168179,1731739118,0
GSM,630,1,1047,53303,0,29.4805,0.4776,4176,5,1,1457870431,1768111657,0
GSM,630,1,2001,56901,0,27.4953,-11.6424,4948,25,1,1438061402,1741416561,0
GSM,630,1,1047,56161,0,29.4677,0.4933,3482,16,1,1458819978,1767940813,0
GSM,630,1,2018,58802,0,26.9501,-11.0491,26338,13,1,1436148439,1767332768,0
GSM,630,1,2018,54732,0,27.0813,-11.1649,10296,22,1,1438061355,1771051188,0
GSM,630,1,2010,52063,0,27.4861,-11.6321,4652,25,1,1458819978,1770360701,0
GSM,630,1,2018,59922,0,26.767,-10.9151,9991,24,1,1436148439,1768545335,0
GSM,630,1,2005,54933,0,27.4249,-11.726,6222,24,1,1438061355,1768800362,0
GSM,630,1,2009,51021,0,28.0315,-12.3202,10481,23,1,1436391691,1762058717,0
GSM,630,1,2023,55123,0,26.1946,-10.5966,14943,24,1,1426664318,1756785582,0
GSM,630,1,3020,60771,0,29.5712,3.1452,3402,17,1,1458819979,1751001613,0
GSM,630,1,3020,55778,0,29.5658,3.1186,8466,23,1,1458819979,1745991385,0
GSM,630,1,3020,58034,0,29.581,3.1266,8591,26,1,1458819979,1768459023,0
GSM,630,1,2023,52610,0,26.2361,-10.6357,5737,2,1,1436147729,1751173694,0
GSM,630,1,8420,50723,0,15.1945,-4.6422,9237,24,1,1436666490,1771477129,0
GSM,630,1,9012,55981,0,29.2401,-1.6587,3581,22,1,1458819980,1733899695,0
